Unique ID,FLNSUS 2021,FLNSUS 2022,Init,End
adrrod-001,TRUE,FALSE,college sophomore,college junior
aimsma-001,TRUE,FALSE,college junior,college junior
alalay-001,FALSE,TRUE,college graduate/post-baccalaureate,college graduate/post-baccalaureate
alesil-001,FALSE,TRUE,college graduate/post-baccalaureate,medical student
aletor-001,FALSE,TRUE,medical student,medical student
alpdia-001,FALSE,TRUE,college senior,college senior
amimck-001,FALSE,TRUE,college sophomore,college sophomore
anasco-001,FALSE,TRUE,college junior,college junior
arabar-001,TRUE,TRUE,college senior,college graduate/post-baccalaureate
armtho-001,TRUE,TRUE,college junior,college junior
azalaw-001,TRUE,FALSE,college freshman,college sophomore
brygri-001,FALSE,TRUE,college freshman,college freshman
carech-001,TRUE,TRUE,college graduate/post-baccalaureate,college graduate/post-baccalaureate
cercis-001,TRUE,TRUE,college senior,college graduate/post-baccalaureate
cerhuf-001,TRUE,FALSE,college senior,college graduate/post-baccalaureate
chetho-001,FALSE,TRUE,college freshman,college freshman
chiihe-001,TRUE,TRUE,college freshman,college sophomore
chiugo-001,TRUE,FALSE,college graduate/post-baccalaureate,college graduate/post-baccalaureate
chrjon-001,TRUE,TRUE,college graduate/post-baccalaureate,college graduate/post-baccalaureate
chuobi-001,FALSE,TRUE,college sophomore,college sophomore
danweb-001,TRUE,FALSE,college sophomore,college junior
denmul-001,TRUE,TRUE,college senior,college graduate/post-baccalaureate
dialun-001,FALSE,TRUE,college sophomore,college sophomore
dymfar-001,FALSE,TRUE,college junior,college junior
ekaram-001,TRUE,TRUE,high school junior,college freshman
emiwir-001,TRUE,TRUE,college junior,college senior
emmlon-001,TRUE,TRUE,college sophomore,college junior
estnar-001,TRUE,FALSE,college junior,college senior
eugman-001,TRUE,TRUE,college senior,college senior
eveare-001,TRUE,TRUE,college sophomore,college sophomore
fatola-001,FALSE,TRUE,college junior,college junior
hababd-001,FALSE,TRUE,college senior,medical student
hepagu-001,FALSE,TRUE,college sophomore,college sophomore
irasan-001,FALSE,TRUE,college sophomore,college sophomore
jacwri-001,FALSE,TRUE,college junior,college junior
jasflo-001,TRUE,TRUE,high school sophomore,high school junior
jashol-001,TRUE,FALSE,college graduate/post-baccalaureate,college graduate/post-baccalaureate
jashug-001,TRUE,TRUE,graduate student,graduate student
jensmi-001,FALSE,TRUE,college junior,college junior
jesava-001,TRUE,FALSE,college graduate/post-baccalaureate,college graduate/post-baccalaureate
jeslan-001,FALSE,TRUE,college graduate/post-baccalaureate,college graduate/post-baccalaureate
jesoko-001,FALSE,TRUE,college junior,college junior
julwel-001,FALSE,TRUE,college senior,college senior
juntar-001,TRUE,TRUE,college senior,medical student
kaides-001,FALSE,TRUE,college sophomore,college sophomore
katjon-001,TRUE,FALSE,college junior,college senior
kaymen-001,FALSE,TRUE,college sophomore,college sophomore
kayros-001,FALSE,TRUE,college senior,college graduate/post-baccalaureate
kharey-001,FALSE,TRUE,college senior,college senior
klutab-001,TRUE,TRUE,college freshman,college sophomore
kofmen-001,TRUE,TRUE,college sophomore,college senior
kundu-001,FALSE,TRUE,college freshman,college freshman
kyllam-001,TRUE,FALSE,college sophomore,college junior
lauwil-001,FALSE,TRUE,college freshman,college freshman
lorfog-001,FALSE,TRUE,college graduate/post-baccalaureate,medical student
madspe-001,TRUE,FALSE,college sophomore,college junior
magtuz-001,FALSE,TRUE,college graduate/post-baccalaureate,graduate student
marcos-001,TRUE,TRUE,college sophomore,college junior
marfer-001,FALSE,TRUE,college senior,college senior
marher-001,TRUE,FALSE,college freshman,college sophomore
mayism-001,FALSE,TRUE,college freshman,college freshman
meepat-001,FALSE,TRUE,college sophomore,college sophomore
megdia-001,TRUE,FALSE,college junior,college senior
melpom-001,TRUE,TRUE,college senior,college senior
mesude-001,FALSE,TRUE,college sophomore,college sophomore
miariv-001,TRUE,TRUE,college sophomore,college junior
micpri-001,TRUE,FALSE,college freshman,college sophomore
nevboy-001,TRUE,TRUE,college sophomore,college junior
nilros-001,FALSE,TRUE,college junior,college junior
nisjos-001,TRUE,TRUE,college junior,college senior
nousal-001,FALSE,TRUE,college graduate/post-baccalaureate,medical student
nsieko-001,FALSE,TRUE,college junior,college junior
oladad-001,TRUE,TRUE,college senior,college graduate/post-baccalaureate
olueku-001,FALSE,TRUE,college senior,college senior
omasor-001,TRUE,FALSE,college senior,medical student
paigou-001,TRUE,TRUE,college sophomore,college sophomore
prakaz-001,FALSE,TRUE,college freshman,college sophomore
rahibr-001,TRUE,FALSE,college senior,college senior
ramgad-001,FALSE,TRUE,college graduate/post-baccalaureate,medical student
ransou-001,FALSE,TRUE,college senior,college senior
rebinc-001,TRUE,FALSE,college senior,college senior
riypat-001,TRUE,TRUE,college freshman,college sophomore
samlop-001,TRUE,TRUE,college graduate/post-baccalaureate,college graduate/post-baccalaureate
samram-001,TRUE,TRUE,college senior,college graduate/post-baccalaureate
shasor-001,TRUE,TRUE,college senior,college graduate/post-baccalaureate
shrpar-001,TRUE,TRUE,college freshman,college sophomore
sumsin-001,TRUE,TRUE,college senior,college senior
taisut-001,TRUE,TRUE,college junior,college senior
tajbri-001,TRUE,FALSE,college graduate/post-baccalaureate,college graduate/post-baccalaureate
taljon-001,FALSE,TRUE,college freshman,college freshman
tanjam-001,TRUE,FALSE,medical student,medical student
tashou-001,FALSE,TRUE,college senior,college senior
theomo-001,FALSE,TRUE,college graduate/post-baccalaureate,college graduate/post-baccalaureate
timsha-001,TRUE,TRUE,college freshman,college sophomore
tinwar-001,TRUE,FALSE,college freshman,college sophomore
triram-001,TRUE,TRUE,college sophomore,college junior
vedale-001,FALSE,TRUE,college junior,college senior
vicbub-001,TRUE,FALSE,college graduate/post-baccalaureate,college graduate/post-baccalaureate
vivduo-001,TRUE,TRUE,college junior,college graduate/post-baccalaureate
vivobi-001,TRUE,TRUE,college senior,college graduate/post-baccalaureate
wilbar-001,TRUE,TRUE,college graduate/post-baccalaureate,graduate student
zijlia-001,FALSE,TRUE,college freshman,college freshman
zylcas-001,TRUE,TRUE,college sophomore,college junior
